Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
MMSAS     Saas, Prättigau                      gre000h0         DTN Schweiz AG                                     9°48'/46°55'             780393/198400    1000
HAI       Salen-Reutenen                       gre000h0         MeteoSchweiz                                       9°01'/47°39'             719099/279047    718
IYSAU     Salurn                               gre000h0         Autonome Provinz Bozen - Südtirol                  11°11'/46°14'            888921/127431    214
GRVIT     San Vittore                          gre000h0         Kanton Graubünden                                  9°06'/46°14'             728549/122183    280
IYSAN     Sand in Taufers / Mühlen             gre000h0         Autonome Provinz Bozen - Südtirol                  11°57'/46°54'            943368/204227    851
IYSAR     Sarnthein                            gre000h0         Autonome Provinz Bozen - Südtirol                  11°21'/46°38'            899743/172969    971
MMSAX     Sax                                  gre000h0         DTN Schweiz AG                                     9°28'/47°14'             752932/233330    475
VSSAX     Saxon                                gre000h0         Kanton Wallis; Dienststelle für Umweltschutz       7°09'/46°08'             577566/109764    460
SHA       Schaffhausen                         gre000h0         MeteoSchweiz                                       8°37'/47°41'             688702/282803    438
IYSCH     Schlanders                           gre000h0         Autonome Provinz Bozen - Südtirol                  10°47'/46°37'            855860/169066    698
AGSUA     Schupfart                            gre000h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung für Umwelt 7°58'/47°31'             639302/263434    482
MMSSE     Schwyz / Seewen                      gre000h0         DTN Schweiz AG                                     8°37'/47°02'             690119/209677    452
WSLSCF    Schänis Freiland                     gre000h0         Eidg. Forschungsanstalt WSL                        9°04'/47°09'             722925/223520    626
SPF       Schüpfheim                           gre000h0         MeteoSchweiz                                       8°01'/46°57'             643683/199710    744
SIO       Sion                                 gre000h0         MeteoSchweiz                                       7°20'/46°13'             591633/118583    482
STC       St. Chrischona                       gre000h0         MeteoSchweiz                                       7°41'/47°34'             618695/269036    493
STG       St. Gallen                           gre000h0         MeteoSchweiz                                       9°24'/47°26'             747865/254588    775
SGBLU     St. Gallen / Blumenbergplatz         gre000h0         Ostluft                                            9°22'/47°26'             746011/254720    675
SGSTU     St. Gallen / Stuelegg                gre000h0         Ostluft                                            9°24'/47°24'             747605/252495    915
IYSMP     St. Martin in Passeier               gre000h0         Autonome Provinz Bozen - Südtirol                  11°14'/46°47'            889384/188242    588
SBO       Stabio                               gre000h0         MeteoSchweiz                                       8°56'/45°51'             716048/77973     351
MMSTA     Stans                                gre000h0         DTN Schweiz AG                                     8°21'/46°58'             669026/202416    438
IYSTZ     Sterzing                             gre000h0         Autonome Provinz Bozen - Südtirol                  11°26'/46°53'            904743/200425    939
DLSTR     Straubing                            gre000h0         Deutscher Wetterdienst                             12°34'/48°50'            -/-              350
DLSTS     Stuttgart / Schnarrenberg            gre000h0         Deutscher Wetterdienst                             9°12'/48°50'             -/-              314
DLSTO     Stötten                              gre000h0         Deutscher Wetterdienst                             9°52'/48°40'             778758/393436    734
THU       Thun                                 gre000h0         MeteoSchweiz                                       7°35'/46°45'             611200/177640    570
MMPRV     Thusis                               gre000h0         DTN Schweiz AG                                     9°26'/46°43'             752982/175241    676
MMTIT     Titterten                            gre000h0         DTN Schweiz AG                                     7°43'/47°24'             620855/250262    669
MMTRG     Triengen                             gre000h0         DTN Schweiz AG                                     8°05'/47°14'             648430/230884    485
DLTRI     Trier                                gre000h0         Deutscher Wetterdienst                             6°39'/49°45'             -/-              265
UEB       Uetliberg                            gre000h0         MeteoSchweiz                                       8°29'/47°21'             679454/245034    854
WSLUIB    Uitikon Bestand                      gre000h0         Eidg. Forschungsanstalt WSL                        8°27'/47°22'             676731/246286    543
WSLUIF    Uitikon Freiland                     gre000h0         Eidg. Forschungsanstalt WSL                        8°27'/47°22'             676764/246211    545
DLUMM     Ulm /Mähringen                       gre000h0         Deutscher Wetterdienst                             9°55'/48°27'             -/-              592
MMUNS     Unterschächen                        gre000h0         DTN Schweiz AG                                     8°46'/46°52'             701431/191053    997
TGUSH     Unterstammheim                       gre000h0         Kanton Thurgau                                     8°47'/47°38'             700523/277305    422
VAD       Vaduz                                gre000h0         MeteoSchweiz                                       9°31'/47°08'             757722/221699    457
VEV       Vevey / Corseaux                     gre000h0         MeteoSchweiz                                       6°49'/46°28'             552106/146847    405
VIS       Visp                                 gre000h0         MeteoSchweiz                                       7°51'/46°18'             631150/128024    639
WSLVOF    Vordemwald Freiland                  gre000h0         Eidg. Forschungsanstalt WSL                        7°55'/47°16'             635732/235431    486
IYVOL     Völs am Schlern                      gre000h0         Autonome Provinz Bozen - Südtirol                  11°30'/46°31'            912015/159435    835
