 

stn;time;sre000h0
COM;2022110919;0
COM;2022110920;0
COM;2022110921;0
COM;2022110922;0
COM;2022110923;0
COM;2022111000;0
COM;2022111001;0
COM;2022111002;0
COM;2022111003;0
COM;2022111004;0
COM;2022111005;0
COM;2022111006;0
COM;2022111007;0
COM;2022111008;0
COM;2022111009;58
COM;2022111010;60
COM;2022111011;60
COM;2022111012;60
COM;2022111013;60
COM;2022111014;15
COM;2022111015;0
COM;2022111016;0
COM;2022111017;0
COM;2022111018;0
COM;2022111019;0
COM;2022111020;0
COM;2022111021;0
COM;2022111022;0
COM;2022111023;0
COM;2022111100;0
COM;2022111101;0
COM;2022111102;0
COM;2022111103;0
COM;2022111104;0
COM;2022111105;0
COM;2022111106;0
COM;2022111107;0
COM;2022111108;0
COM;2022111109;57
COM;2022111110;60
COM;2022111111;60
COM;2022111112;60
COM;2022111113;45
COM;2022111114;0
COM;2022111115;0
COM;2022111116;0
COM;2022111117;0
COM;2022111118;0
COM;2022111119;0
COM;2022111120;0
COM;2022111121;0
COM;2022111122;0
COM;2022111123;0
COM;2022111200;0
COM;2022111201;0
COM;2022111202;0
COM;2022111203;0
COM;2022111204;0
COM;2022111205;0
COM;2022111206;0
COM;2022111207;0
COM;2022111208;0
COM;2022111209;0
COM;2022111210;40
COM;2022111211;46
COM;2022111212;60
COM;2022111213;12
COM;2022111214;0
COM;2022111215;0
COM;2022111216;0
COM;2022111217;0
COM;2022111218;0
COM;2022111219;0
COM;2022111220;0
COM;2022111221;0
COM;2022111222;0
COM;2022111223;0
COM;2022111300;0
COM;2022111301;0
COM;2022111302;0
COM;2022111303;0
COM;2022111304;0
COM;2022111305;0
COM;2022111306;0
COM;2022111307;0
COM;2022111308;0
COM;2022111309;56
COM;2022111310;60
COM;2022111311;60
COM;2022111312;55
COM;2022111313;24
COM;2022111314;9
COM;2022111315;0
COM;2022111316;0
COM;2022111317;0
COM;2022111318;0
COM;2022111319;0
COM;2022111320;0
COM;2022111321;0
COM;2022111322;0
COM;2022111323;0
COM;2022111400;0
COM;2022111401;0
COM;2022111402;0
COM;2022111403;0
COM;2022111404;0
COM;2022111405;0
COM;2022111406;0
COM;2022111407;0
COM;2022111408;0
COM;2022111409;0
COM;2022111410;0
COM;2022111411;0
COM;2022111412;0
COM;2022111413;0
COM;2022111414;0
COM;2022111415;0
COM;2022111416;0
COM;2022111417;0
COM;2022111418;0
COM;2022111419;0
COM;2022111420;0
COM;2022111421;0
COM;2022111422;0
COM;2022111423;0
COM;2022111500;0
COM;2022111501;0
COM;2022111502;0
COM;2022111503;0
COM;2022111504;0
COM;2022111505;0
COM;2022111506;0
COM;2022111507;0
COM;2022111508;0
COM;2022111509;0
COM;2022111510;0
COM;2022111511;0
COM;2022111512;0
COM;2022111513;0
COM;2022111514;0
COM;2022111515;0
COM;2022111516;0
COM;2022111517;0
COM;2022111518;0
COM;2022111519;0
COM;2022111520;0
COM;2022111521;0
COM;2022111522;0
COM;2022111523;0
COM;2022111600;0
COM;2022111601;0
COM;2022111602;0
COM;2022111603;0
COM;2022111604;0
COM;2022111605;0
COM;2022111606;0
COM;2022111607;0
COM;2022111608;0
COM;2022111609;0
COM;2022111610;5
COM;2022111611;60
COM;2022111612;60
COM;2022111613;60
COM;2022111614;8
COM;2022111615;0
COM;2022111616;0
COM;2022111617;0
COM;2022111618;0
COM;2022111619;0
COM;2022111620;0
COM;2022111621;0
COM;2022111622;0
COM;2022111623;0
COM;2022111700;0
COM;2022111701;0
COM;2022111702;0
COM;2022111703;0
COM;2022111704;0
COM;2022111705;0
COM;2022111706;0
COM;2022111707;0
COM;2022111708;0
COM;2022111709;54
COM;2022111710;60
COM;2022111711;60
COM;2022111712;60
COM;2022111713;29
COM;2022111714;8
COM;2022111715;0
COM;2022111716;0
COM;2022111717;0
COM;2022111718;0
COM;2022111719;0
COM;2022111720;0
COM;2022111721;0
COM;2022111722;0
COM;2022111723;0
COM;2022111800;0
COM;2022111801;0
COM;2022111802;0
COM;2022111803;0
COM;2022111804;0
COM;2022111805;0
COM;2022111806;0
COM;2022111807;0
