Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
LAE       Lägern                               sre000h0         MeteoSchweiz                                       8°24'/47°29'             672250/259460    844
MAG       Magadino / Cadenazzo                 sre000h0         MeteoSchweiz                                       8°56'/46°10'             715479/113161    203
DLMAN     Mannheim                             sre000h0         Deutscher Wetterdienst                             8°33'/49°31'             -/-              96
MAH       Mathod                               sre000h0         MeteoSchweiz                                       6°34'/46°44'             533458/176567    435
MER       Meiringen                            sre000h0         MeteoSchweiz                                       8°10'/46°44'             655844/175930    588
DLMEM     Memmingen                            sre000h0         Deutscher Wetterdienst                             10°08'/47°59'            801522/318112    615
IYMER     Meran                                sre000h0         Autonome Provinz Bozen - Südtirol                  11°08'/46°41'            882785/177420    329
DLMES     Messstetten                          sre000h0         Deutscher Wetterdienst                             8°57'/48°10'             711942/336543    899
DLMEZ     Metzingen                            sre000h0         Deutscher Wetterdienst                             9°16'/48°32'             735531/378007    355
DLMIC     Michelstadt / Vielbrunn              sre000h0         Deutscher Wetterdienst                             9°06'/49°43'             -/-              453
MOA       Mosen                                sre000h0         MeteoSchweiz                                       8°14'/47°15'             660128/232852    453
MOE       Möhlin                               sre000h0         MeteoSchweiz                                       7°53'/47°34'             633053/269147    343
DLMUD     Mühldorf                             sre000h0         Deutscher Wetterdienst                             12°30'/48°17'            975681/359796    406
MUB       Mühleberg                            sre000h0         MeteoSchweiz                                       7°17'/46°58'             587792/202479    479
DLMUC     München                              sre000h0         Deutscher Wetterdienst                             11°33'/48°10'            905248/342757    515
DLMUN     München / Flughafen                  sre000h0         Deutscher Wetterdienst                             11°49'/48°21'            924190/364335    446
DLMUO     Münster / Osnabrück                  sre000h0         Deutscher Wetterdienst                             7°42'/52°08'             617766/777303    48
IYNAT     Naturns                              sre000h0         Autonome Provinz Bozen - Südtirol                  10°59'/46°39'            871877/172430    537
DLNBL     Neubulach                            sre000h0         Deutscher Wetterdienst                             8°41'/48°39'             691514/389816    570
NEU       Neuchâtel                            sre000h0         MeteoSchweiz                                       6°57'/47°00'             563086/205559    485
DLNEH     Neuhütten                            sre000h0         Deutscher Wetterdienst                             9°25'/50°00'             -/-              339
DLWEB     Neustadt / Weinbiet                  sre000h0         Deutscher Wetterdienst                             8°07'/49°23'             -/-              553
CGI       Nyon / Changins                      sre000h0         MeteoSchweiz                                       6°14'/46°24'             506878/139572    458
DLNUR     Nürburg / Barweiler                  sre000h0         Deutscher Wetterdienst                             6°52'/50°22'             -/-              485
DLNUE     Nürnberg                             sre000h0         Deutscher Wetterdienst                             11°03'/49°30'            862116/489905    314
DLOBD     Oberstdorf                           sre000h0         Deutscher Wetterdienst                             10°17'/47°24'            814149/253623    806
IYOBV     Obervintl                            sre000h0         Autonome Provinz Bozen - Südtirol                  11°45'/46°49'            929155/193494    747
DLDWD     Offenbach                            sre000h0         Deutscher Wetterdienst                             8°47'/50°05'             -/-              118
ORO       Oron                                 sre000h0         MeteoSchweiz                                       6°51'/46°34'             555505/158052    828
PAY       Payerne                              sre000h0         MeteoSchweiz Test                                  6°57'/46°49'             562131/184611    490
PIO       Piotta                               sre000h0         MeteoSchweiz                                       8°41'/46°31'             695880/152264    990
PUY       Pully                                sre000h0         MeteoSchweiz                                       6°40'/46°31'             540819/151510    455
DLREG     Regensburg                           sre000h0         Deutscher Wetterdienst                             12°06'/49°03'            -/-              365
DLREN     Renningen                            sre000h0         Deutscher Wetterdienst                             8°55'/48°45'             709296/400261    478
DLRHE     Rheinau                              sre000h0         Deutscher Wetterdienst                             7°60'/48°40'             640912/391306    131
IYRIS     Ritten / Siffian                     sre000h0         Autonome Provinz Bozen - Südtirol                  11°28'/46°32'            -/-              987
DLROS     Rosenheim                            sre000h0         Deutscher Wetterdienst                             12°08'/47°53'            950621/313234    444
DLROT     Rottweil                             sre000h0         Deutscher Wetterdienst                             8°38'/48°11'             688995/337463    588
RUE       Rünenberg                            sre000h0         MeteoSchweiz                                       7°53'/47°26'             633252/253845    611
DLSAA     Saarbrücken / Ensheim                sre000h0         Deutscher Wetterdienst                             7°06'/49°13'             575872/451603    320
HAI       Salen-Reutenen                       sre000h0         MeteoSchweiz                                       9°01'/47°39'             719099/279047    718
IYSAU     Salurn                               sre000h0         Autonome Provinz Bozen - Südtirol                  11°11'/46°14'            888921/127431    214
IYSAN     Sand in Taufers / Mühlen             sre000h0         Autonome Provinz Bozen - Südtirol                  11°57'/46°54'            943368/204227    851
IYSAR     Sarnthein                            sre000h0         Autonome Provinz Bozen - Südtirol                  11°21'/46°38'            899743/172969    971
SHA       Schaffhausen                         sre000h0         MeteoSchweiz                                       8°37'/47°41'             688702/282803    438
IYSCH     Schlanders                           sre000h0         Autonome Provinz Bozen - Südtirol                  10°47'/46°37'            855860/169066    698
SPF       Schüpfheim                           sre000h0         MeteoSchweiz                                       8°01'/46°57'             643683/199710    744
SIO       Sion                                 sre000h0         MeteoSchweiz                                       7°20'/46°13'             591633/118583    482
STC       St. Chrischona                       sre000h0         MeteoSchweiz                                       7°41'/47°34'             618695/269036    493
STG       St. Gallen                           sre000h0         MeteoSchweiz                                       9°24'/47°26'             747865/254588    775
IYSMP     St. Martin in Passeier               sre000h0         Autonome Provinz Bozen - Südtirol                  11°14'/46°47'            889384/188242    588
SBO       Stabio                               sre000h0         MeteoSchweiz                                       8°56'/45°51'             716048/77973     351
IYSTZ     Sterzing                             sre000h0         Autonome Provinz Bozen - Südtirol                  11°26'/46°53'            904743/200425    939
DLSTR     Straubing                            sre000h0         Deutscher Wetterdienst                             12°34'/48°50'            -/-              350
DLSTU     Stuttgart / Echterdingen             sre000h0         Deutscher Wetterdienst                             9°13'/48°41'             731472/394682    371
DLSTS     Stuttgart / Schnarrenberg            sre000h0         Deutscher Wetterdienst                             9°12'/48°50'             -/-              314
DLSTO     Stötten                              sre000h0         Deutscher Wetterdienst                             9°52'/48°40'             778758/393436    734
DLTHO     Tholey                               sre000h0         Deutscher Wetterdienst                             7°02'/49°28'             -/-              385
THU       Thun                                 sre000h0         MeteoSchweiz                                       7°35'/46°45'             611200/177640    570
DLTRI     Trier                                sre000h0         Deutscher Wetterdienst                             6°39'/49°45'             -/-              265
UEB       Uetliberg                            sre000h0         MeteoSchweiz                                       8°29'/47°21'             679454/245034    854
DLUMM     Ulm /Mähringen                       sre000h0         Deutscher Wetterdienst                             9°55'/48°27'             -/-              592
VAD       Vaduz                                sre000h0         MeteoSchweiz                                       9°31'/47°08'             757722/221699    457
VEV       Vevey / Corseaux                     sre000h0         MeteoSchweiz                                       6°49'/46°28'             552106/146847    405
VIS       Visp                                 sre000h0         MeteoSchweiz                                       7°51'/46°18'             631150/128024    639
IYVOL     Völs am Schlern                      sre000h0         Autonome Provinz Bozen - Südtirol                  11°30'/46°31'            912015/159435    835
DLWAI     Waibstadt                            sre000h0         Deutscher Wetterdienst                             8°54'/49°18'             -/-              236
DLWAL     Waldmünchen                          sre000h0         Deutscher Wetterdienst                             12°41'/49°23'            -/-              498
DLWED     Weiden                               sre000h0         Deutscher Wetterdienst                             12°11'/49°40'            -/-              439
DLWES     Weihenstephan / Dürnast              sre000h0         Deutscher Wetterdienst                             11°42'/48°24'            -/-              477
DLWEI     Weingarten                           sre000h0         Deutscher Wetterdienst                             9°37'/47°48'             763437/297358    440
DLWEG     Weissenburg                          sre000h0         Deutscher Wetterdienst                             10°56'/49°01'            -/-              439
DLWIE     Wielenbach                           sre000h0         Deutscher Wetterdienst                             11°09'/47°53'            878090/310175    550
DLWUN     Wunsiedel                            sre000h0         Deutscher Wetterdienst                             11°58'/50°02'            -/-              622
WYN       Wynau                                sre000h0         MeteoSchweiz                                       7°47'/47°15'             626404/233848    421
WAE       Wädenswil                            sre000h0         MeteoSchweiz                                       8°41'/47°13'             693847/230744    485
PSI       Würenlingen / PSI                    sre000h0         MeteoSchweiz                                       8°14'/47°32'             659355/265380    334
DLWUR     Würzburg                             sre000h0         Deutscher Wetterdienst                             9°57'/49°46'             -/-              268
DLZWI     Zwiesel                              sre000h0         Deutscher Wetterdienst                             13°14'/49°02'            -/-              615
REH       Zürich / Affoltern                   sre000h0         MeteoSchweiz                                       8°31'/47°26'             681432/253548    443
SMA       Zürich / Fluntern                    sre000h0         MeteoSchweiz                                       8°34'/47°23'             685116/248065    555
KLO       Zürich / Kloten                      sre000h0         MeteoSchweiz                                       8°32'/47°29'             682710/259338    426
DLOHR     Öhringen                             sre000h0         Deutscher Wetterdienst                             9°31'/49°12'             -/-              275

Paramètre
---------
          Unité                                Description
sre000h0  min                                  durée d'ensoleillement; somme horaire

