Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
ZENWST    Stans                                rre150h0         Bundesamt für Strassen                             8°22'/46°58'             670875/202077    445
MMSTA     Stans                                rre150h0         DTN Schweiz AG                                     8°21'/46°58'             669026/202416    438
STB       Starkenbach                          rre150h0         MeteoSchweiz                                       9°15'/47°11'             737313/227576    897
IYSTZ     Sterzing                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°26'/46°53'            904743/200425    939
AGSTE     Stetten                              rre150h0         MeteoSchweiz                                       8°18'/47°24'             665026/249877    355
DLSTA     Stockach                             rre150h0         Deutscher Wetterdienst                             9°01'/47°52'             717981/302142    532
DLSTR     Straubing                            rre150h0         Deutscher Wetterdienst                             12°34'/48°50'            -/-              350
DLSTU     Stuttgart / Echterdingen             rre150h0         Deutscher Wetterdienst                             9°13'/48°41'             731472/394682    371
DLSTS     Stuttgart / Schnarrenberg            rre150h0         Deutscher Wetterdienst                             9°12'/48°50'             -/-              314
ZELUST    Stänglematten                        rre150h0         Bundesamt für Strassen                             7°59'/47°13'             640780/229151    484
DLSTO     Stötten                              rre150h0         Deutscher Wetterdienst                             9°52'/48°40'             778758/393436    734
AGSUL     Sulz                                 rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°06'/47°33'             649607/266007    352
LUSUR     Sursee                               rre150h0         Kanton Luzern                                      8°06'/47°10'             649930/225040    511
